location_id,location_name,tract_id
44355,King County Census Tract 316.03,316.03
44356,King County Census Tract 316.04,316.04
44357,King County Census Tract 316.05,316.05
44360,King County Census Tract 317.03,317.03
44361,King County Census Tract 317.04,317.04
44362,King County Census Tract 317.05,317.05
44363,King County Census Tract 317.06,317.06
44364,King County Census Tract 318,318
44365,King County Census Tract 319.03,319.03
44366,King County Census Tract 319.04,319.04
44368,King County Census Tract 319.06,319.06
44369,King County Census Tract 319.07,319.07
44370,King County Census Tract 319.08,319.08
44371,King County Census Tract 319.09,319.09
44372,King County Census Tract 320.02,320.02
44373,King County Census Tract 320.03,320.03
44375,King County Census Tract 320.05,320.05
44376,King County Census Tract 320.06,320.06
44377,King County Census Tract 320.07,320.07
44378,King County Census Tract 320.08,320.08
44380,King County Census Tract 320.1,320.1
44381,King County Census Tract 320.11,320.11
44383,King County Census Tract 321.02,321.02
44384,King County Census Tract 321.03,321.03
44385,King County Census Tract 321.04,321.04
44386,King County Census Tract 322.03,322.03
44390,King County Census Tract 322.07,322.07
44391,King County Census Tract 322.08,322.08
44393,King County Census Tract 322.1,322.1
44394,King County Census Tract 322.11,322.11
44395,King County Census Tract 322.12,322.12
44396,King County Census Tract 322.13,322.13
44397,King County Census Tract 322.14,322.14
44398,King County Census Tract 322.15,322.15
44403,King County Census Tract 323.07,323.07
44405,King County Census Tract 323.09,323.09
44407,King County Census Tract 323.11,323.11
44409,King County Census Tract 323.13,323.13
44411,King County Census Tract 323.15,323.15
44412,King County Census Tract 323.16,323.16
44413,King County Census Tract 323.17,323.17
44414,King County Census Tract 323.18,323.18
44415,King County Census Tract 323.19,323.19
44416,King County Census Tract 323.2,323.2
44417,King County Census Tract 323.21,323.21
44418,King County Census Tract 323.22,323.22
44419,King County Census Tract 323.23,323.23
44420,King County Census Tract 323.24,323.24
44421,King County Census Tract 323.25,323.25
44422,King County Census Tract 323.26,323.26
44423,King County Census Tract 323.27,323.27
44424,King County Census Tract 323.28,323.28
44425,King County Census Tract 323.29,323.29
44427,King County Census Tract 324.01,324.01
44428,King County Census Tract 324.02,324.02
44429,King County Census Tract 325,325
44431,King County Census Tract 326.01,326.01
44432,King County Census Tract 326.02,326.02
44434,King County Census Tract 327.02,327.02
44435,King County Census Tract 327.03,327.03
44436,King County Census Tract 327.04,327.04
44437,King County Census Tract 328,328
